"workflow","status","workbook_rows","match_reason","script_type","perf_workflow","functional_workflow","resolved_usernames","position","multiple_usernames","username_count","resolved_mill_password"
"OCONUS-Ambulatory-Patient-Intake-1","mapped","52","strict:perf_base_part_equivalent","Split","OCONUS-Ambulatory - Patient Intake-P1","OCONUS-Ambulatory - Patient Intake","ABL_AmbIntake_PtOne1","Scheduling Advanced","no","1","scale"
"OCONUS-Ambulatory-Patient-Intake-2","mapped","87","strict:perf_base_part_equivalent","Split","OCONUS-Ambulatory - Patient Intake-P2","OCONUS-Ambulatory - Patient Intake","ABL_Oconus_Amb_PtItk_PtTwo_A1|ABL_Oconus_Amb_PtItk_PtTwo_B1","Scheduling Advanced|Ambulatory: RN","yes","2","scale"
"OCONUS-Ambulatory-Schedule-Appointment","mapped","34","strict:perf_exact_or_norm","Leave As Is","OCONUS-Ambulatory-Schedule-Appointment","OCONUS-Ambulatory-Schedule-Appointment","ABL_Amb_SchedAppt1","Scheduling Advanced","no","1","scale"
"OCONUS-Clinical-Reporting-Medical-Record-Request","mapped","18","fallback:ratio=0.945;token_overlap=1.000;part_bonus=0.00;combo_bonus=0.00","Leave As Is","OCONUS-Clinical-Reporting-Medical-Record-Request(MRR)-M0","OCONUS-Clinical-Reporting-Medical-Record-Request(MRR)-M0","ABL_ClinicalReporting_MRR_A1|ABL_ClinicalReporting_MRR_B1","VA Nurse: Nurse|VA Registration/Scheduling Clerk I","yes","2","scale"
"OCONUS-FirstNet-Combined-Quick-Full-Reg","mapped","74","strict:perf_exact_or_norm","Leave As Is","OCONUS-FirstNet-Combined-Quick-Full-Reg","OCONUS-FirstNet-Combined-Quick-Full-Reg","ABL_Oconus_FnetQuickFullReg_A1|ABL_Oconus_FnetQuickFullReg_B1","ED Registration Clerk|VA Registration/Scheduling Clerk III","yes","2","scale"
"OCONUS-Provider-Workflow-CPOE-Orders-1","mapped","40","strict:perf_base_part_equivalent","Split","OCONUS-Provider-Workflow-CPOE-Orders-P1","OCONUS-Provider-Workflow-CPOE-Orders","ABL_CPOE_Orders_PtOne_A1|ABL_CPOE_Orders_PtOne_B1","Physician - Hospitalist|RN","yes","2","scale"
"OCONUS-Provider-Workflow-CPOE-Orders-2","mapped","41","strict:perf_base_part_equivalent","Split","OCONUS-Provider-Workflow-CPOE-Orders-P2","OCONUS-Provider-Workflow-CPOE-Orders","ABL_CPOE_Orders_PtTwo1","RN","no","1","scale"
"OCONUS-Registration-Add-Net-New-Person","mapped","21","strict:perf_exact_or_norm","Leave As Is","OCONUS-Registration - Add Net New Person","OCONUS-Registration - Add Net New Person","ABL_Oconus_RegAddPerson1","Registration Clerk","no","1","scale"
"VA-Amb-Health-Maintenance-Invitations","mapped","62","strict:perf_exact_or_norm","Leave As Is","VA-Amb-Health-Maintenance-Invitations-Regression","VA-Amb-Health-Maintenance-Invitations-Regression","ABL_HealthMaint_Invitation1","VA Physician - Primary Care","no","1","scale"
"VA-Ambulatory-End-to-End-Part1","mapped","71","strict:perf_base_part_equivalent","Split","VA-Ambulatory-End-to-End-P1","VA-Ambulatory-End-to-End","ABL_Amb_EndToEnd_PtOne1","VA Registration/Scheduling Clerk III","no","1","scale"
"VA-Ambulatory-Organizer-Confirm-Decline","mapped","49;50","fallback:ratio=0.889;token_overlap=0.800;part_bonus=0.00;combo_bonus=0.00;combined_group=15","Combined 15","VA-Ambulatory-Organizer-Regression-Script-Decline","VA-Ambulatory-Organizer-Regression-Script-Decline","ABL_AmbOrg_Decline_Grp15_B1|ABL_AmbOrg_Confirm_Grp15_A1","VA Ambulatory: RN|VA Ambulatory: RN","yes","2","scale"
"VA-Ambulatory-Referral-1","mapped","70","strict:perf_base_part_equivalent","Split","VA-Ambulatory-Referral-Regression-Script-P1","VA-Ambulatory-Referral-Regression-Script","ABL_Amb_Referral_PtOne_A1|ABL_Amb_Referral_PtOne_B1","VA Physician Assistant|VA Physician - Primary Care","yes","2","scale"
"VA-Batch-Charge-Entry-And-Charge-Viewer-Script","mapped","2;3","fallback:ratio=0.842;token_overlap=0.833;part_bonus=0.00;combo_bonus=0.03;combined_group=13","Combined 13","VA-Batch-Charge-Entry-Viewer-Regression","VA-Batch-Charge-Entry-Regression-Script","ABL_BatchChrgEntry_Grp13_A1|ABL_ChrgViewer_Grp13_B1","VA Charge Analyst - Local|VA Charge Analyst - Local","yes","2","scale"
"VA-CDA-And-LetterPreview","mapped","8;9","fallback:ratio=0.833;token_overlap=0.250;part_bonus=0.00;combo_bonus=0.03;combined_group=8","Combined 8","VA-Letter-Preview","VA-Letter-Preview","ABL_LetterPreview_Grp8_A1|ABL_VA_CDA_Grp8_BA1","VA Physician - Primary Care|VA Physician - Primary Care","yes","2","scale"
"VA-Configure-AppBar-Applications","mapped","4;5","last_resort:ratio=0.517;combined_group=1","Combined 1","","VA-Printing-Regression-Testing-Script-Pharmacy-Workstation","ABL_PharmWrkstation_Grp1_B1|ABL_PrintReg_Periop_Grp1_A1","VA PharmNet: Pharmacist|VA Perioperative - Nurse","yes","2","scale"
"VA-ED-Quick-Reg-And-MMR-External-Provider","mapped","19;20","fallback:ratio=0.689;token_overlap=0.500;part_bonus=0.00;combo_bonus=0.03;combined_group=12","Combined 12","VA-MMR-External-Provider-Search","VA-MMR-External-Provider-Search","ABL_MMRExtProvSearch_Grp12_B1|ABL_EDQuickReg_Grp12_A1","VA PharmNet: Pharmacist|VA Registration/Scheduling Clerk III","yes","2","scale"
"VA-Financial-Combine-And-Modify-Charge","mapped","28;29","fallback:ratio=0.875;token_overlap=0.500;part_bonus=0.00;combo_bonus=0.03;combined_group=7","Combined 7","VA-FinancialCombine-ModifyChrgGrp-Regression","VA-Financial-Combine-Regression-Script","ABL_Financial_Combine_Grp7_A1|ABL_MOD_CHARGE_Grp7_B1","VA Billing - MRT|VA Billing - MRT","yes","2","scale"
"VA-Health-Maintenance-and-Immunizations-And-Vaccine","mapped","6;7","fallback:ratio=0.966;token_overlap=1.000;part_bonus=0.00;combo_bonus=0.03;combined_group=6","Combined 6","VA-Health-Maintenance-Immunizations-And-Vaccine","VA-HealthMaintenance-and-Immunizations","ABL_HealthMaint_Imz_Grp6_A1|ABL_VA_Vaccine_Grp6_BB1","VA Ambulatory: RN|VA Ambulatory: RN","yes","2","scale"
"VA-Home-Medication-Component-Physician-Documentation","mapped","15;16","fallback:ratio=0.694;token_overlap=0.667;part_bonus=0.00;combo_bonus=0.00;combined_group=4","Combined 4","","VA-Home-Medication-Component","ABL_HomeMedsComponnet_Grp4_B1|ABL_Phys_Doc_Grp4_A1","VA Physician - Primary Care|VA Physician - Primary Care","yes","2","scale"
"VA-IP-Registration","mapped","75","strict:perf_exact_or_norm","Leave As Is","VA-IP-Registration-Regression","VA-IP-Registration-Regression","ABL_IP_Registration1","VA Registration/Scheduling Clerk III","no","1","scale"
"VA-IView-Copay-Printing-PowerChart","mapped","59;60;61","fallback:ratio=0.800;token_overlap=0.600;part_bonus=0.00;combo_bonus=0.00;combined_group=16","Combined 16","VA-Printing-Regression-Testing-Script-PowerChart","VA-Printing-Regression-Testing-Script-PowerChart","ABL_PrintReg_Pchart_Grp16_B1|ABL_Iview_Full_Grp16_C1|ABL_Copay_Grp16_A1","VA Physician - Primary Care|VA Nurse: Nurse|VA CM - Cashier","yes","3","scale"
